[99850, 74]
[89602, 1]
[78125, 47]
[31757, 1]
[72245, 4]
[43453, 1]
[19777, 1]
[13298, 1]
[6191, 4]
[94021, 3]
[85077, 56]
[41143, 1]
[111787, 10]
[48840, 1]
[110424, 44]
[88067, 8]
[65687, 2]
[60477, 1]
[113527, 20]
[112693, 2]
[25888, 1]
[25889, 3]
[110997, 3]
[50682, 58]
[28662, 10]
[28667, 1]
[74900, 131]
[31959, 1]
[56658, 3]
[93362, 49]
[93364, 58]
[27221, 3]
[74274, 3]
[74276, 104]
[6978, 1]
[92465, 108]
[82417, 21]
[16752, 1]
[88079, 1]
[104536, 1]
[43793, 4]
[111301, 1]
[45439, 5]
[54235, 3]
[44741, 24]
[95249, 3]
[55027, 16]
[89146, 129]
[52154, 5]
[53209, 66]
[63516, 35]
[59993, 3]
[32715, 44]
[6098, 2]
[77440, 12]
[77449, 58]
[93440, 108]
[86592, 29]
[89917, 66]
[14761, 1]
[5583, 16]
[88794, 25]
[103275, 86]
[82626, 6]
[80668, 1]
[42437, 81]
[58613, 95]
[10407, 39]
[90174, 1]
[20303, 1]
[78588, 30]
[23763, 1]
[111416, 2]
[99905, 39]
[60147, 54]
[107167, 116]
[107168, 34]
[108368, 9]
[57233, 46]
[86000, 67]
[91342, 3]
[73519, 21]
[58445, 11]
[91248, 1]
[102412, 1]
[85544, 2]
[41495, 24]
[19187, 10]
[19872, 3]
[81473, 1]
[82879, 11]
[60385, 56]
[90690, 65]
[95581, 2]
[42609, 31]
[10449, 3]
[21774, 1]
[28559, 1]
[58401, 36]
[34234, 46]
[29254, 3]
[106971, 33]
[93675, 40]
[61714, 10]
[104607, 6]
[75147, 44]
[33493, 4]
[71643, 1]
[37667, 20]
[97864, 120]
[102987, 2]
[97869, 6]
[78040, 10]
[109733, 1]
[39333, 38]
[52936, 2]
[100081, 37]
[101396, 1]
[80238, 1]
[101393, 37]
[40993, 2]
[80902, 42]
[40375, 1]
[111660, 20]
[54888, 5]
[27991, 1]
[52733, 1]
[67038, 1]
[68910, 29]
[92464, 29]
[66340, 6]
[91846, 12]
[74794, 19]
[32791, 38]
[23875, 64]
[27149, 43]
[85339, 1]
[85334, 1]
[82613, 1]
[98295, 1]
[57319, 2]
[18430, 47]
[74967, 2]
[30536, 8]
[104455, 5]
[89779, 28]
[5509, 1]
[5506, 1]
[15607, 21]
[103145, 26]
[76187, 2]
[76189, 9]
[76188, 14]
[87743, 9]
[31379, 1]
[74859, 1]
[7993, 71]
[101459, 45]
[54575, 8]
[11960, 4]
[111141, 19]
[111499, 3]
[111491, 2]
[82098, 8]
[61816, 1]
[107477, 8]
[112325, 5]
[68038, 2]
[112584, 1]
[78747, 2]
[66132, 3]
[31175, 14]
[3808, 1]
[73591, 17]
[92616, 26]
[93561, 1]
[91411, 39]
[85270, 1]
[85273, 18]
[84637, 75]
[70978, 1]
[37738, 16]
[37733, 1]
[7788, 33]
[7780, 1]
[14681, 5]
[76533, 1]
[72854, 25]
[80703, 1]
[86288, 9]
[49990, 1]
[40864, 19]
[110881, 17]
[23647, 47]
[97816, 12]
[66441, 3]
[92174, 1]
[26464, 21]
[75416, 12]
[104359, 22]
[104680, 3]
[24911, 8]
[102684, 21]
[108240, 17]
[91576, 25]
[101648, 39]
[76809, 11]
[109117, 3]
[92006, 7]
[43971, 2]
[43979, 2]
[80988, 1]
[96130, 19]
[15561, 1]
[86133, 1]
[51978, 2]
[16142, 13]
[11699, 1]
[97603, 8]
[68448, 33]
[57362, 1]
[22545, 1]
[38936, 5]
[12329, 1]
[24646, 16]
[45148, 31]
[75899, 11]
[24735, 1]
[41130, 1]
[78028, 1]
[102606, 10]
[59604, 1]
[82134, 5]
[28888, 7]
[53474, 1]
[33041, 1]
[4376, 1]
[20793, 1]
[90431, 1]
[49477, 1]
[33125, 1]
[24933, 21]
[6508, 3]
[35183, 1]
[26996, 1]
[37252, 1]
[78214, 43]
[76181, 1]
[43423, 42]
[72097, 4]
[29127, 29]
[45512, 3]
[70104, 2]
[27102, 5]
[109024, 1]
[109049, 1]
[78330, 1]
[72193, 6]
[25117, 2]
[107062, 1]
[6720, 14]
[613, 1]
[76396, 34]
[29305, 1]
[107140, 7]
[82587, 7]
[19098, 1]
[6844, 16]
[109262, 1]
[107227, 1]
[37615, 15]
[37622, 6]
[113405, 20]
[54029, 36]
[74521, 2]
[27434, 5]
[74543, 39]
[19249, 1]
[13107, 1]
[78651, 3]
[72506, 13]
[27457, 1]
[6990, 30]
[6995, 5]
[35670, 1]
[27501, 1]
[66435, 1]
[60299, 1]
[29610, 2]
[82873, 3]
[78783, 1]
[91102, 1]
[62442, 1]
[107521, 1]
[97301, 1]
[48151, 2]
[29729, 2]
[87111, 41]
[76880, 1]
[113743, 1]
[3215, 1]
[25769, 4]
[29863, 13]
[66746, 1]
[101591, 1]
[103641, 4]
[58640, 1]
[17712, 1]
[34115, 1]
[91477, 11]
[23905, 2]
[81249, 1]
[23919, 1]
[95609, 15]
[91537, 6]
[81324, 1]
[28086, 1]
[7644, 1]
[62949, 1]
[46634, 1]
[50754, 1]
[40561, 1]
[52858, 13]
[99967, 6]
[81549, 3]
[91790, 4]
[40650, 3]
[34532, 1]
[77560, 4]
[40697, 1]
[40728, 3]
[59173, 1]
[89898, 1]
[79730, 2]
[26484, 1]
[102262, 1]
